FID IID
2101417 2101417
2101850 2101850
2102228 2102228
2103475 2103475
2103525 2103525
2107378 2107378
2109006 2109006
2109148 2109148
2110311 2110311
2110631 2110631
2113167 2113167
2113375 2113375
2115933 2115933
2118797 2118797
2119282 2119282
2119704 2119704
2120523 2120523
2120838 2120838
2122279 2122279
2122294 2122294
2122417 2122417
2124202 2124202
2127115 2127115
2127123 2127123
2127404 2127404
2127420 2127420
2128023 2128023
2131601 2131601
2132324 2132324
2133394 2133394
2133654 2133654
2134367 2134367
2137515 2137515
2140773 2140773
2141590 2141590
2141696 2141696
2144769 2144769
2145707 2145707
2146848 2146848
2147702 2147702
2147859 2147859
2148013 2148013
2148108 2148108
2148652 2148652
2148755 2148755
2150630 2150630
2151071 2151071
2153325 2153325
2153445 2153445
2153519 2153519
2153895 2153895
2154527 2154527
2156760 2156760
2159113 2159113
2162219 2162219
2162645 2162645
2162941 2162941
2163295 2163295
2164520 2164520
2167310 2167310
2169259 2169259
2170019 2170019
2171669 2171669
2174223 2174223
2174369 2174369
2175397 2175397
2176637 2176637
2176934 2176934
2178954 2178954
2178978 2178978
2179337 2179337
2179744 2179744
2179838 2179838
2180318 2180318
2180680 2180680
2181758 2181758
2184475 2184475
2185434 2185434
2187486 2187486
2190761 2190761
2191908 2191908
2194677 2194677
2194989 2194989
2198458 2198458
2200134 2200134
2206717 2206717
2210250 2210250
2210895 2210895
2212984 2212984
2213004 2213004
2214852 2214852
2216451 2216451
2217387 2217387
2218611 2218611
2218920 2218920
2220017 2220017
2221385 2221385
2222271 2222271
2223269 2223269
2223357 2223357
2223780 2223780
2223800 2223800
2224671 2224671
2227159 2227159
2228944 2228944
2233293 2233293
2233613 2233613
2233776 2233776
2234461 2234461
2235705 2235705
2236580 2236580
2237876 2237876
2238250 2238250
2239052 2239052
2240079 2240079
2244074 2244074
2244080 2244080
2244433 2244433
2245453 2245453
2245887 2245887
2246541 2246541
2247474 2247474
2247561 2247561
2248579 2248579
2248732 2248732
2249853 2249853
2253387 2253387
2254200 2254200
2254529 2254529
2254680 2254680
2255133 2255133
2255341 2255341
2257741 2257741
2260898 2260898
2261694 2261694
2263563 2263563
2267458 2267458
2269820 2269820
2270272 2270272
2270385 2270385
2271297 2271297
2274831 2274831
2275935 2275935
2277032 2277032
2277075 2277075
2279201 2279201
2285002 2285002
2287097 2287097
2287769 2287769
2289959 2289959
2290406 2290406
2291622 2291622
2292733 2292733
2293852 2293852
2294018 2294018
2295426 2295426
2295670 2295670
2296954 2296954
2298859 2298859
2298955 2298955
2299844 2299844
2300215 2300215
2304514 2304514
2307178 2307178
2307197 2307197
2308674 2308674
2310086 2310086
2311544 2311544
2313843 2313843
2315867 2315867
2319631 2319631
2319958 2319958
2320595 2320595
2320638 2320638
2322176 2322176
2322892 2322892
2323099 2323099
2323496 2323496
2323748 2323748
2323860 2323860
2323916 2323916
2323941 2323941
2324355 2324355
2326989 2326989
2329709 2329709
2331957 2331957
2332356 2332356
2333430 2333430
2335119 2335119
2335864 2335864
2335913 2335913
2336110 2336110
2337906 2337906
2338599 2338599
2338653 2338653
2340766 2340766
2341199 2341199
2342645 2342645
2344994 2344994
2345272 2345272
2348551 2348551
2354899 2354899
2359119 2359119
2359472 2359472
2360545 2360545
2363419 2363419
2364080 2364080
2364290 2364290
2364404 2364404
2364717 2364717
2364916 2364916
2365256 2365256
2365957 2365957
2366198 2366198
2366385 2366385
2366875 2366875
2366988 2366988
2367401 2367401
2367413 2367413
2367442 2367442
2368414 2368414
2371323 2371323
2372400 2372400
2373364 2373364
2376172 2376172
2377669 2377669
2379035 2379035
2379502 2379502
2379769 2379769
2379906 2379906
2384073 2384073
2386016 2386016
2388413 2388413
2390090 2390090
2390129 2390129
2391042 2391042
2393304 2393304
2393638 2393638
2394144 2394144
2396021 2396021
2396616 2396616
2397130 2397130
2400151 2400151
2400429 2400429
2402178 2402178
2406126 2406126
2408062 2408062
2409496 2409496
2409897 2409897
2410283 2410283
2410515 2410515
2412509 2412509
2413495 2413495
2414786 2414786
2416148 2416148
2418411 2418411
2418454 2418454
2418961 2418961
2421419 2421419
2421475 2421475
2424297 2424297
2426281 2426281
2426652 2426652
2427006 2427006
2428797 2428797
2433178 2433178
2434194 2434194
2437442 2437442
2437798 2437798
2437944 2437944
2438414 2438414
2438661 2438661
2438693 2438693
2439092 2439092
2440962 2440962
2444029 2444029
2449449 2449449
2454976 2454976
2458041 2458041
2458240 2458240
2460418 2460418
2460564 2460564
2461114 2461114
2461453 2461453
2462445 2462445
2464082 2464082
2465294 2465294
2467078 2467078
2473175 2473175
2475566 2475566
2475579 2475579
2475719 2475719
2476137 2476137
2477381 2477381
2479059 2479059
2482209 2482209
2483487 2483487
2484443 2484443
2485669 2485669
2487574 2487574
2487765 2487765
2488710 2488710
2489015 2489015
2492330 2492330
2493229 2493229
2493253 2493253
2494192 2494192
2497132 2497132
2499788 2499788
2499840 2499840
2501277 2501277
2502225 2502225
2503181 2503181
2503850 2503850
2504482 2504482
2505449 2505449
2507167 2507167
2507358 2507358
2509425 2509425
2512195 2512195
2513271 2513271
2515213 2515213
2515402 2515402
2516046 2516046
2516494 2516494
2517309 2517309
2519895 2519895
2520676 2520676
2521267 2521267
2522006 2522006
2522740 2522740
2523523 2523523
2523636 2523636
2523672 2523672
2524358 2524358
2525424 2525424
2528154 2528154
2528218 2528218
2528444 2528444
2529836 2529836
2530028 2530028
2531090 2531090
2537314 2537314
2537772 2537772
2538319 2538319
2538818 2538818
2539261 2539261
2539570 2539570
2539992 2539992
2545392 2545392
2547490 2547490
2549510 2549510
2551023 2551023
2552610 2552610
2553640 2553640
2553694 2553694
2556661 2556661
2556689 2556689
2558527 2558527
2559043 2559043
2560004 2560004
2560152 2560152
2561021 2561021
2561300 2561300
2562083 2562083
2563381 2563381
2563411 2563411
2564211 2564211
2564648 2564648
2566793 2566793
2568213 2568213
2569334 2569334
2571529 2571529
2572021 2572021
2572602 2572602
2574837 2574837
2575180 2575180
2576328 2576328
2578237 2578237
2578865 2578865
2581953 2581953
2582871 2582871
2584107 2584107
2584578 2584578
2586668 2586668
2588532 2588532
2589147 2589147
2590728 2590728
2591672 2591672
2591939 2591939
2593809 2593809
2593860 2593860
2594580 2594580
2595065 2595065
2598002 2598002
2598578 2598578
2601173 2601173
2602277 2602277
2602659 2602659
2604650 2604650
2604885 2604885
2605231 2605231
2607385 2607385
2608426 2608426
2609234 2609234
2609565 2609565
2610318 2610318
2613327 2613327
2613652 2613652
2616820 2616820
2617287 2617287
2617592 2617592
2618718 2618718
2620005 2620005
2620490 2620490
2621286 2621286
2623812 2623812
2626450 2626450
2627292 2627292
2627847 2627847
2628564 2628564
2629873 2629873
2631268 2631268
2632260 2632260
2633065 2633065
2634081 2634081
2635404 2635404
2636585 2636585
2638516 2638516
2639057 2639057
2639422 2639422
2639804 2639804
2640045 2640045
2642310 2642310
2646367 2646367
2646868 2646868
2647263 2647263
2647860 2647860
2652714 2652714
2652831 2652831
2653872 2653872
2654155 2654155
2657648 2657648
2657964 2657964
2658062 2658062
2659447 2659447
2659700 2659700
2661941 2661941
2663927 2663927
2664688 2664688
2666389 2666389
2667571 2667571
2667644 2667644
2668124 2668124
2670604 2670604
2671534 2671534
2672157 2672157
2674891 2674891
2676133 2676133
2679501 2679501
2679599 2679599
2681021 2681021
2684297 2684297
2686099 2686099
2686306 2686306
2688173 2688173
2692019 2692019
2693077 2693077
2695213 2695213
2695722 2695722
2696396 2696396
